Spell Name,Level,School,Ritual,Casting Time,Range,Concentration,Duration,Description,Per Higher Spell Level,Source
Acid Splash,0,Conjuration,,1 action,60 ft.,,Instantaneous,"You hurl a bubble of acid. Choose one creature within range, or choose two creatures within range that are within 5 feet of each other. A target must succeed on a dexterity saving throw or take 1d6 acid damage.",,PHB
Aid,2,Abjuration,,1 action,30 ft.,,8 hours,Your spell bolsters your allies with toughness and resolve. Choose up to three creatures within range. Each target's hit point maximum and current hit points increase by 5 for the duration.,"When you cast this spell using a spell slot of 3rd level or higher, a target's hit points increase by an additional 5 for each slot level above 2nd.",PHB
Alarm,1,Abjuration,true,1 minute,30 ft.,,8 hours,"You set an alarm against unwanted intrusion. Choose a door, a window, or an area within range that is no larger than a 20-foot cube. Until the spell ends, an alarm alerts you whenever a Tiny or larger creature touches or enters the warded area. When you cast the spell, you can designate creatures that won't set off the alarm. You also choose whether the alarm is mental or audible.",,PHB
Alter Self,2,Transmutation,,1 action,Self,true,1 hour,"You assume a different form. When you cast the spell, choose one of the following options, the effects of which last for the duration of the spell. While the spell lasts, you can end one option as an action to gain the benefits of a different one.",,PHB
Animal Friendship,1,Enchantment,,1 action,30 ft.,,24 hours,"This spell lets you convince a beast that you mean it no harm. Choose a beast that you can see within range. It must see and hear you. If the beast's Intelligence is 4 or higher, the spell fails. Otherwise, the beast must succeed on a wisdom saving throw or be charmed by you for the spell's duration. If you or one of your companions harms the target, the spells ends.",,PHB
Animal Messenger,2,Enchantment,true,1 action,30 ft.,,24 hours,"By means of this spell, you use an animal to deliver a message. Choose a Tiny beast you can see within range, such as a squirrel, a blue jay, or a bat. You specify a location, which you must have visited, and a recipient who matches a general description, such as a man or woman dressed in the uniform of the town guard or a red-haired dwarf wearing a pointed hat. You also speak a message of up to twenty-five words. The target beast travels for the duration of the spell toward the specified location, covering about 50 miles per 24 hours for a flying messenger, or 25 miles for other animals.","If you cast this spell using a spell slot of 3nd level or higher, the duration of the spell increases by 48 hours for each slot level above 2nd.",PHB
Animal Shapes,8,Transmutation,,1 action,30 ft.,true,24 hours,"Your magic turns others into beasts. Choose any number of willing creatures that you can see within range. You transform each target into the form of a Large or smaller beast with a challenge rating of 4 or lower. On subsequent turns, you can use your action to transform affected creatures into new forms.",,PHB
Animate Dead,3,Necromancy,,1 minute,10 ft.,,Instantaneous,"This spell creates an undead servant. Choose a pile of bones or a corpse of a Medium or Small humanoid within range. Your spell imbues the target with a foul mimicry of life, raising it as an undead creature. The target becomes a skeleton if you chose bones or a zombie if you chose a corpse (the DM has the creature's game statistics).","When you cast this spell using a spell slot of 4th level or higher, you animate or reassert control over two additional undead creatures for each slot level above 3rd. Each of the creatures must come from a different corpse or pile of bones.",PHB
Animate Objects,5,Transmutation,,1 action,120 ft.,true,1 minute,"Objects come to life at your command. Choose up to ten nonmagical objects within range that are not being worn or carried. Medium targets count as two objects, Large targets count as four objects, Huge targets count as eight objects. You can't animate any object larger than Huge. Each target animates and becomes a creature under your control until the spell ends or until reduced to 0 hit points.","If you cast this spell using a spell slot of 6th level or higher, you can animate two additional objects for each slot level above 5th.",PHB
Antilife Shell,5,Abjuration,,1 action,10 ft. radius,true,1 hour,"A shimmering barrier extends out from you in a 10-foot radius and moves with you, remaining centered on you and hedging out creatures other than undead and constructs. The barrier lasts for the duration.",,PHB
Antimagic Field,8,Abjuration,,1 action,10 ft. radius,true,1 hour,"A 10-foot-radius invisible sphere of antimagic surrounds you. This area is divorced from the magical energy that suffuses the multiverse. Within the sphere, spells can't be cast, summoned creatures disappear, and even magic items become mundane. Until the spell ends, the sphere moves with you, centered on you.",,PHB
Antipathy/Sympathy,8,Enchantment,,1 hour,60 ft.,,10 days,"This spell attracts or repels creatures of your choice. You target something within range, either a Huge or smaller object or creature or an area that is no larger than a 200-foot cube. Then specify a kind of intelligent creature, such as red dragons, goblins, or vampires. You invest the target with an aura that either attracts or repels the specified creatures for the duration. Choose antipathy or sympathy as the aura's effect.",,PHB
Arcane Eye,4,Divination,,1 action,30 ft.,true,1 hour,"You create an invisible, magical eye within range that hovers in the air for the duration.",,PHB
Arcane Gate,6,Conjuration,,1 action,500 ft.,true,10 minutes,,,PHB
Arcane Lock,2,Abjuration,,1 action,Touch,,Until Dispelled,,,PHB
Armor of Agathys,1,Abjuration,,1 action,Self,,1 hour,"You touch a closed door, window, gate, chest, or other entryway, and it becomes locked for the duration. You and the creatures you designate when you cast this spell can open the object normally. You can also set a password that, when spoken within 5 feet of the object, suppresses this spell for 1 minute. Otherwise, it is impassable until it is broken or the spell is dispelled or suppressed. Casting knock on the object suppresses arcane lock for 10 minutes.",,PHB
Arms of Hadar,1,Conjuration,,1 action,Self,,Instantaneous,,,PHB
Astral Projection,9,Necromancy,,1 hour,10 ft.,,Special,You and up to eight willing creatures within range project your astral bodies into the Astral Plane (the spell fails and the casting is wasted if you are already on that plane). The material body you leave behind is unconscious and in a state of suspended animation, it doesn't need food or air and doesn't age.,PHB
Augury,2,Divination,true,1 minute,Self,,Instantaneous,"By casting gem-inlaid sticks, rolling dragon bones, laying out ornate cards, or employing some other divining tool, you receive an omen from an otherworldly entity about the results of a specific course of action that you plan to take within the next 30 minutes. The DM chooses from the following possible omens:",,PHB
Aura of Life,4,Abjuration,,1 action,Self,true,10 minutes,,,PHB
Aura of Purity,4,Abjuration,,1 action,Self,true,10 minutes,,,PHB
Aura of Vitality,3,Evocation,,1 action,Self,true,1 minute,,,PHB
Awaken,5,Transmutation,,8 hours,Touch,,Instantaneous,"After spending the casting time tracing magical pathways within a precious gemstone, you touch a Huge or smaller beast or plant. The target must have either no Intelligence score or an Intelligence of 3 or less. The target gains an Intelligence of 10. The target also gains the ability to speak one language you know. If the target is a plant, it gains the ability to move its limbs, roots, vines, creepers, and so forth, and it gains senses similar to a human's. Your DM chooses statistics appropriate for the awakened plant, such as the statistics for the awakened shrub or the awakened tree.",,PHB
Bane,1,Enchantment,,1 action,30 ft.,true,1 minute,"Up to three creatures of your choice that you can see within range must make charisma saving throws. Whenever a target that fails this saving throw makes an attack roll or a saving throw before the spell ends, the target must roll a d4 and subtract the number rolled from the attack roll or saving throw.","When you cast this spell using a spell slot of 2nd level or higher, you can target one additional creature for each slot level above 1st.",PHB
Banishing Smite,5,Abjuration,,1 bonus action,Self,true,1 minute,,,PHB
Banishment,4,Abjuration,,1 action,60 ft.,true,1 minute,You attempt to send one creature that you can see within range to another plane of existence. The target must succeed on a charisma saving throw or be banished.,"When you cast this spell using a spell slot of 5th level or higher, you can target one additional creature for each slot level above 4th.",PHB
Barkskin,2,Transmutation,,1 action,Touch,true,1 hour,"You touch a willing creature. Until the spell ends, the target's skin has a rough, bark-like appearance, and the target's AC can't be less than 16, regardless of what kind of armor it is wearing.",,PHB
Beacon of Hope,3,Abjuration,,1 action,30 ft.,true,1 hour,"This spell bestows hope and vitality. Choose any number of creatures within range. For the duration, each target has advantage on wisdom saving throws and death saving throws, and regains the maximum number of hit points possible from any healing.",,PHB
Beast Sense,2,Divination,true,1 action,Touch,true,1 hour,,,PHB
Bestow Curse,3,Necromancy,,1 action,Touch,true,1 minute,"You touch a creature, and that creature must succeed on a wisdom saving throw or become cursed for the duration of the spell. When you cast this spell, choose the nature of the curse from the following options:","If you cast this spell using a spell slot of 4th level or higher, the duration is concentration, up to 10 minutes. If you use a spell slot of 5th level or higher, the duration is 8 hours. If you use a spell slot of 7th level or higher, the duration is 24 hours. If you use a 9th level spell slot, the spell lasts until it is dispelled. Using a spell slot of 5th level or higher grants a duration that doesn't require concentration.",PHB
Bigby's Hand,5,Evocation,,1 action,120 ft.,true,1 minute,,,PHB
Blade Barrier,6,Evocation,,1 action,90 ft.,true,10 minutes,"You create a vertical wall of whirling, razor-sharp blades made of magical energy. The wall appears within range and lasts for the duration. You can make a straight wall up to 100 feet long, 20 feet high, and 5 feet thick, or a ringed wall up to 60 feet in diameter, 20 feet high, and 5 feet thick. The wall provides three-quarters cover to creatures behind it, and its space is difficult terrain.",,PHB
Blade Ward,0,Abjuration,,1 action,Self,,1 round,,,PHB
Bless,1,Enchantment,,1 action,30 ft.,true,1 minute,"You bless up to three creatures of your choice within range. Whenever a target makes an attack roll or a saving throw before the spell ends, the target can roll a d4 and add the number rolled to the attack roll or saving throw.","When you cast this spell using a spell slot of 2nd level or higher, you can target one additional creature for each slot level above 1st.",PHB
Blight,4,Necromancy,,1 action,30 ft.,,Instantaneous,"Necromantic energy washes over a creature of your choice that you can see within range, draining moisture and vitality from it. The target must make a constitution saving throw. The target takes 8d8 necrotic damage on a failed save, or half as much damage on a successful one. The spell has no effect on undead or constructs.","When you cast this spell using a spell slot of 5th level of higher, the damage increases by 1d8 for each slot level above 4th.",PHB
Blinding Smite,3,Evocation,,1 bonus action,Self,true,1 minute,,,PHB
Blindness/Deafness,2,Necromancy,,1 action,30 ft.,,1 minute,,,PHB
